kode_komoditas,nama_komoditas,kuesioner
111001,BERAS,HK-1.1
111008,TEPUNG TERIGU,HK-1.1
112003,DAGING AYAM RAS,HK-1.1
112008,DAGING SAPI,HK-1.1
113024,IKAN KEMBUNG/IKAN GEMBUNG/ IKAN BANYAR/IKAN GEMBOLO/ IKAN ASO-ASO,HK-1.1
114005,SUSU BUBUK,HK-1.1
114006,SUSU KENTAL MANIS,HK-1.1
114017,TELUR AYAM KAMPUNG,HK-1.1
114018,TELUR AYAM RAS,HK-1.1
115002,MINYAK GORENG,HK-1.1
117103,TOMAT,HK-1.1
117104,CABAI MERAH,HK-1.1
117105,CABAI RAWIT,HK-1.1
117137,BAWANG MERAH,HK-1.1
117138,BAWANG PUTIH,HK-1.1
117174,TAHU MENTAH,HK-1.1
117176,TEMPE,HK-1.1
118001,GULA PASIR,HK-1.1
119039,SUSU BUBUK UNTUK BALITA,HK-1.1
119040,SUSU BUBUK UNTUK BAYI,HK-1.1
342002,BAHAN BAKAR RUMAH TANGGA,HK-1.1
1121001,EMAS PERHIASAN,HK-1.1
111047,MIE KERING INSTANT,HK-1.2
113010,IKAN CAKALANG/ IKAN SISIK,HK-1.2
113013,IKAN DENCIS,HK-1.2
113019,IKAN KAKAP MERAH,HK-1.2
113020,IKAN KAKAP PUTIH,HK-1.2
113025,IKAN KERAPU/ IKAN GAROPA,HK-1.2
113034,IKAN MERAH,HK-1.2
113050,IKAN TENGGIRI,HK-1.2
113051,IKAN TERI,HK-1.2
113052,IKAN TETER,HK-1.2
113053,IKAN TONGKOL/ IKAN AMBU-AMBU,HK-1.2
113060,IKAN KERISI,HK-1.2
113082,IKAN TAMBAN,HK-1.2
113225,IKAN ASIN BELAH,HK-1.2
113240,IKAN ASIN TERI,HK-1.2
113246,IKAN ASAP,HK-1.2
113311,CUMI-CUMI,HK-1.2
113314,UDANG BASAH,HK-1.2
113315,SOTONG (SEGAR),HK-1.2
116078,KELAPA,HK-1.2
116084,KACANG TANAH,HK-1.2
117001,BAYAM,HK-1.2
117010,DAUN SINGKONG,HK-1.2
117011,KANGKUNG,HK-1.2
117013,KOL PUTIH/KUBIS,HK-1.2
117015,SAWI HIJAU,HK-1.2
117018,BROKOLI,HK-1.2
117020,SAWI PUTIH/PECAY/PITSAI,HK-1.2
117027,GENJER,HK-1.2
117088,KETIMUN,HK-1.2
117090,LABU SIAM/JIPANG,HK-1.2
117097,JAGUNG MANIS,HK-1.2
117102,TERONG,HK-1.2
117124,BUNCIS,HK-1.2
117125,KACANG PANJANG,HK-1.2
117133,TAUGE/KECAMBAH,HK-1.2
117134,WORTEL,HK-1.2
117160,KENTANG,HK-1.2
119046,GARAM,HK-1.2
461007,SABUN CAIR/CUCI PIRING,HK-1.2
461008,SABUN CREAM DETERGEN,HK-1.2
461009,SABUN CUCI BATANGAN,HK-1.2
461010,SABUN DETERGEN BUBUK,HK-1.2
461030,DETERGEN CAIR,HK-1.2
622002,BENSIN,HK-1.2
633001,ANGKUTAN UDARA,HK-1.2
111013,BISKUIT,HK-2.1
111017,MAKANAN RINGAN/SNACK,HK-2.1
111018,ROTI MANIS,HK-2.1
111019,ROTI TAWAR,HK-2.1
111020,KERUPUK (MENTAH),HK-2.1
111021,WAFER,HK-2.1
111024,KUE KERING,HK-2.1
111025,DONAT,HK-2.1
111027,KUE BOLU/TART,HK-2.1
111045,BIHUN,HK-2.1
111050,MIE KERING,HK-2.1
112001,AYAM HIDUP,HK-2.1
112004,DAGING BABI,HK-2.1
112027,NUGGET,HK-2.1
113228,IKAN DALAM KALENG,HK-2.1
114002,SUSU CAIR KEMASAN,HK-2.1
116001,ALPUKAT,HK-2.1
116006,PEPAYA,HK-2.1
116007,PISANG,HK-2.1
116009,KELAPA MUDA,HK-2.1
